1 3 0.000183731804315
2 4 0.000109980872402
3 1 3.70026451047e-05
3 5 9.40483443661e-05
4 2 4.76838246128e-05
4 6 8.68629161058e-05
5 3 5.31033176153e-05
5 7 8.26817837069e-05
6 4 5.64410565295e-05
6 8 7.99356349038e-05
7 5 5.87187210937e-05
7 9 7.7957582336e-05
8 6 6.04118105048e-05
8 10 7.64472220525e-05
9 7 6.17227448183e-05
9 11 7.51986446781e-05
10 8 6.27775344808e-05
10 12 7.42022884729e-05
11 9 6.36146511534e-05
11 13 7.33563502217e-05
12 10 6.43536397186e-05
12 14 7.26212792042e-05
13 11 6.49919765677e-05
13 15 7.19300931062e-05
14 12 6.55516486379e-05
14 16 7.13464355257e-05
15 13 6.60117031825e-05
15 17 7.07900589324e-05
16 14 6.64593232084e-05
16 18 7.02994514577e-05
17 15 6.68422214182e-05
17 19 6.98234015809e-05
18 16 6.72130297854e-05
18 20 6.93735669729e-05
19 17 6.75358625941e-05
19 21 6.89449386581e-05
20 18 6.78316109135e-05
20 22 6.85405931768e-05
21 19 6.81033675098e-05
21 23 6.81280088185e-05
22 20 6.83606706447e-05
22 24 6.77511350546e-05
23 21 6.85761901323e-05
23 25 6.73846647489e-05
24 22 6.87982925762e-05
24 26 6.70508081407e-05
25 23 6.90052831313e-05
25 27 6.66855766308e-05
26 24 6.92230895365e-05
26 28 6.63511358501e-05
27 25 6.93883034982e-05
27 29 6.59979759155e-05
28 26 6.95672745615e-05
28 30 6.56739874277e-05
29 27 6.97101258873e-05
29 31 6.53541080605e-05
30 28 6.98688994739e-05
30 32 6.50125477289e-05
31 29 7.00185864786e-05
31 33 6.4685369563e-05
32 30 7.0132614704e-05
32 34 6.43609594938e-05
33 31 7.0250615628e-05
33 35 6.40517647951e-05
34 32 7.03610635523e-05
34 36 6.37313517066e-05
35 33 7.04784432505e-05
35 37 6.34124851332e-05
36 34 7.05744502661e-05
36 38 6.31210988666e-05
37 35 7.06637095154e-05
37 39 6.28045909824e-05
38 36 7.07757742523e-05
38 40 6.24768804764e-05
39 37 7.08524164966e-05
39 41 6.21617285951e-05
40 38 7.09092831574e-05
41 39 7.09736487488e-05

